F150002 11232 Rosengårds Bilservice Aktiebolag;29;;;;;;;;;;;;;;;;;;;;;;;;;;;
F105988 14902 Hitta Rätt i Ålem AB;23;29;;;;;;;;;;;;;;;;;;;;;;;;;;
F105998 16415 Trobäcks B/S i Vä Aktiebolag;29;;;;;;;;;;;;;;;;;;;;;;;;;;;
F113836 17630 Norbec AB;05;06;19;27;29;;;;;;;;;;;;;;;;;;;;;;;
F113099 31050 Seanell AB;02;09;29;;;;;;;;;;;;;;;;;;;;;;;;;
F105986 31221 Framtids Björnen AB;26;29;;;;;;;;;;;;;;;;;;;;;;;;;;
F105918 31270 Anda Mack AB;05;07;10;13;25;29;31;;;;;;;;;;;;;;;;;;;;;
F105901 31602 Fimack AB;29;;;;;;;;;;;;;;;;;;;;;;;;;;;
F105955 31885 Theomac AB;13;17;19;25;29;30;;;;;;;;;;;;;;;;;;;;;;
F105911 31905 Ytterby Bensinstation AB;09;;;;;;;;;;;;;;;;;;;;;;;;;;;
F111067 33377 TBO Bensin och Service AB;29;;;;;;;;;;;;;;;;;;;;;;;;;;;
F111320 33663 MBOJ AB;09;10;17;29;;;;;;;;;;;;;;;;;;;;;;;;
F105975 34646 Bensin & Oljor i Skövde AB;03;11;13;15;29;;;;;;;;;;;;;;;;;;;;;;;
F105977 35160 172:ans Servicecenter AB;08;29;;;;;;;;;;;;;;;;;;;;;;;;;;
F113756 35430 WestVik Bensinstation AB;11;13;16;18;25;26;27;28;29;30;;;;;;;;;;;;;;;;;;
F111226 35450 Ekdahls Mack i Lysekil AB;06;29;;;;;;;;;;;;;;;;;;;;;;;;;;
F105974 36410 Br. Blom Co AB;05;09;13;17;18;19;25;29;30;;;;;;;;;;;;;;;;;;;
F150005 36876 Mikael Crafoord Handel & Service AB;01;10;11;24;29;;;;;;;;;;;;;;;;;;;;;;;
F105997 45255 Trafikbutiken Gävle AB;16;29;;;;;;;;;;;;;;;;;;;;;;;;;;
F113334 46003 Tedassi AB;25;29;;;;;;;;;;;;;;;;;;;;;;;;;;
F111924 46011 Bensinstation Preem AB (XX46536-111924);05;06;14;29;30;;;;;;;;;;;;;;;;;;;;;;;
F111924 59820 Bensinstation Preem AB (XX46536-111924);05;06;14;29;30;;;;;;;;;;;;;;;;;;;;;;;
F113912 46040 Bergid AB;06;21;26;27;29;;;;;;;;;;;;;;;;;;;;;;;
F105902 46041 Mats Ericsson i Ängelholm AB;12;13;29;;;;;;;;;;;;;;;;;;;;;;;;;
F113500 46045 Lerberget Vöcks AB;14;17;19;29;30;;;;;;;;;;;;;;;;;;;;;;;
F105969 46065 Bensin och Livs Klippan AB;28;29;;;;;;;;;;;;;;;;;;;;;;;;;;
