( 11232 , '2018-05-29') 
( 14902 , '2018-05-23') 
( 14902 , '2018-05-29') 
( 16415 , '2018-05-29') 
( 17630 , '2018-05-05') 
( 17630 , '2018-05-06') 
( 17630 , '2018-05-19') 
( 17630 , '2018-05-27') 
( 17630 , '2018-05-29') 
( 31050 , '2018-05-02') 
( 31050 , '2018-05-09') 
( 31050 , '2018-05-29') 
( 31221 , '2018-05-26') 
( 31221 , '2018-05-29') 
( 31270 , '2018-05-05') 
( 31270 , '2018-05-07') 
( 31270 , '2018-05-10') 
( 31270 , '2018-05-13') 
( 31270 , '2018-05-25') 
( 31270 , '2018-05-29') 
( 31270 , '2018-05-31') 
( 31602 , '2018-05-29') 
( 31885 , '2018-05-13') 
( 31885 , '2018-05-17') 
( 31885 , '2018-05-19') 
( 31885 , '2018-05-25') 
( 31885 , '2018-05-29') 
( 31885 , '2018-05-30') 
( 31905 , '2018-05-09') 
( 33377 , '2018-05-29') 
( 33663 , '2018-05-09') 
( 33663 , '2018-05-10') 
( 33663 , '2018-05-17') 
( 33663 , '2018-05-29') 
( 34646 , '2018-05-03') 
( 34646 , '2018-05-11') 
( 34646 , '2018-05-13') 
( 34646 , '2018-05-15') 
( 34646 , '2018-05-29') 
( 35160 , '2018-05-08') 
( 35160 , '2018-05-29') 
( 35430 , '2018-05-11') 
( 35430 , '2018-05-13') 
( 35430 , '2018-05-16') 
( 35430 , '2018-05-18') 
( 35430 , '2018-05-25') 
( 35430 , '2018-05-26') 
( 35430 , '2018-05-27') 
( 35430 , '2018-05-28') 
( 35430 , '2018-05-29') 
( 35430 , '2018-05-30') 
( 35450 , '2018-05-06') 
( 35450 , '2018-05-29') 
( 36410 , '2018-05-05') 
( 36410 , '2018-05-09') 
( 36410 , '2018-05-13') 
( 36410 , '2018-05-17') 
( 36410 , '2018-05-18') 
( 36410 , '2018-05-19') 
( 36410 , '2018-05-25') 
( 36410 , '2018-05-29') 
( 36410 , '2018-05-30') 
( 36876 , '2018-05-01') 
( 36876 , '2018-05-10') 
( 36876 , '2018-05-11') 
( 36876 , '2018-05-24') 
( 36876 , '2018-05-29') 
( 45255 , '2018-05-16') 
( 45255 , '2018-05-29') 
( 46003 , '2018-05-25') 
( 46003 , '2018-05-29') 
( 46011 , '2018-05-05') 
( 46011 , '2018-05-06') 
( 46011 , '2018-05-14') 
( 46011 , '2018-05-29') 
( 46011 , '2018-05-30') 
( 59820 , '2018-05-05') 
( 59820 , '2018-05-06') 
( 59820 , '2018-05-14') 
( 59820 , '2018-05-29') 
( 59820 , '2018-05-30') 
( 46040 , '2018-05-06') 
( 46040 , '2018-05-21') 
( 46040 , '2018-05-26') 
( 46040 , '2018-05-27') 
( 46040 , '2018-05-29') 
( 46041 , '2018-05-12') 
( 46041 , '2018-05-13') 
( 46041 , '2018-05-29') 
( 46045 , '2018-05-14') 
( 46045 , '2018-05-17') 
( 46045 , '2018-05-19') 
( 46045 , '2018-05-29') 
( 46045 , '2018-05-30') 
( 46065 , '2018-05-28') 
( 46065 , '2018-05-29') 
( 46072 , '2018-05-29') 
( 46073 , '2018-05-07') 
( 46073 , '2018-05-11') 
( 46073 , '2018-05-29') 
( 46084 , '2018-05-07') 
( 46084 , '2018-05-17') 
( 46084 , '2018-05-29') 
( 46090 , '2018-05-09') 
( 46090 , '2018-05-29') 
( 46097 , '2018-05-19') 
( 46097 , '2018-05-20') 
( 46097 , '2018-05-25') 
( 46097 , '2018-05-26') 
( 46097 , '2018-05-29') 
( 46114 , '2018-05-03') 
( 46114 , '2018-05-18') 
( 46114 , '2018-05-25') 
( 46114 , '2018-05-29') 
( 46173 , '2018-05-09') 
( 46173 , '2018-05-10') 
( 46173 , '2018-05-14') 
( 46173 , '2018-05-29') 
( 46206 , '2018-05-28') 
( 46206 , '2018-05-29') 
( 46213 , '2018-05-29') 
( 46213 , '2018-05-30') 
( 46507 , '2018-05-09') 
( 46507 , '2018-05-29') 
( 46512 , '2018-05-07') 
( 46512 , '2018-05-29') 
( 46512 , '2018-05-31') 
( 46513 , '2018-05-29') 
( 46521 , '2018-05-12') 
( 46521 , '2018-05-25') 
( 46521 , '2018-05-29') 
( 46523 , '2018-05-29') 
( 46523 , '2018-05-30') 
( 46531 , '2018-05-02') 
( 46531 , '2018-05-03') 
( 46531 , '2018-05-04') 
( 46531 , '2018-05-05') 
( 46531 , '2018-05-06') 
( 46531 , '2018-05-08') 
( 46531 , '2018-05-09') 
( 46531 , '2018-05-10') 
( 46531 , '2018-05-12') 
( 46531 , '2018-05-13') 
( 46531 , '2018-05-14') 
( 46531 , '2018-05-15') 
( 46531 , '2018-05-16') 
( 46531 , '2018-05-17') 
( 46531 , '2018-05-18') 
( 46531 , '2018-05-19') 
( 46531 , '2018-05-20') 
( 46531 , '2018-05-29') 
( 46531 , '2018-05-31') 
( 46536 , '2018-05-19') 
( 46536 , '2018-05-20') 
( 46536 , '2018-05-29') 
( 46537 , '2018-05-29') 
( 46608 , '2018-05-13') 
( 46608 , '2018-05-29') 
( 49044 , '2018-05-28') 
( 49044 , '2018-05-29') 
( 49047 , '2018-05-11') 
( 49047 , '2018-05-18') 
( 49047 , '2018-05-25') 
( 49047 , '2018-05-26') 
( 49047 , '2018-05-29') 
( 49047 , '2018-05-30') 
( 49054 , '2018-05-05') 
( 49054 , '2018-05-12') 
( 49054 , '2018-05-26') 
( 49054 , '2018-05-28') 
( 49054 , '2018-05-29') 
( 49054 , '2018-05-30') 
( 49083 , '2018-05-14') 
( 49083 , '2018-05-28') 
( 49083 , '2018-05-29') 
( 49090 , '2018-05-01') 
( 49090 , '2018-05-05') 
( 49090 , '2018-05-15') 
( 49090 , '2018-05-19') 
( 49090 , '2018-05-20') 
( 49090 , '2018-05-21') 
( 49090 , '2018-05-29') 
( 49130 , '2018-05-07') 
( 49130 , '2018-05-29') 
( 49186 , '2018-05-07') 
( 49186 , '2018-05-10') 
( 49186 , '2018-05-23') 
( 49186 , '2018-05-29') 
( 49186 , '2018-05-30') 
( 49348 , '2018-05-29') 
( 49348 , '2018-05-30') 
( 49348 , '2018-05-31') 
( 51063 , '2018-05-09') 
( 51063 , '2018-05-12') 
( 51063 , '2018-05-29') 
( 51063 , '2018-05-30') 
( 51063 , '2018-05-31') 
( 51085 , '2018-05-04') 
( 51085 , '2018-05-09') 
( 51085 , '2018-05-17') 
( 51085 , '2018-05-29') 
( 51126 , '2018-05-11') 
( 51126 , '2018-05-29') 
( 51270 , '2018-05-17') 
